"","n_pokoj","metraz","cena_m2","rok","pietro","pietro_maks","dzielnica","cena","kat_cenowa"
"443",2,40.16,6698,2008,3,3,"Krzyki",268991.68,"4. bardzo drogie"
"444",3,51.63,7341,1936,1,2,"Srodmiescie",379015.83,"4. bardzo drogie"
"445",3,61.2,5866,2004,1,3,"Fabryczna",358999.2,"3. drogie"
"446",2,40,6725,2008,1,3,"Krzyki",269000,"4. bardzo drogie"
"447",4,116.56,5276,2005,0,0,"Krzyki",614970.56,"1. bardzo tanie"
"448",3,68.5,5109,2011,0,0,"Fabryczna",349966.5,"1. bardzo tanie"
"449",3,111,11532,2007,4,6,"Srodmiescie",1280052,"4. bardzo drogie"
"450",2,49,6102,2008,2,3,"Fabryczna",298998,"3. drogie"
"451",2,40.16,7097,2008,3,3,"Krzyki",285015.52,"4. bardzo drogie"
"452",5,106.11,4231,1930,3,3,"Krzyki",448951.41,"1. bardzo tanie"
"453",5,112,5000,2014,0,0,"Krzyki",560000,"1. bardzo tanie"
"454",2,47.5,4989,2000,4,4,"Krzyki",236977.5,"1. bardzo tanie"
"455",3,56,5696,2012,1,1,"Psie Pole",318976,"2. tanie"
"456",2,54,5185,1930,3,4,"Krzyki",279990,"1. bardzo tanie"
"457",2,34,7529,1970,7,10,"Krzyki",255986,"4. bardzo drogie"
"458",2,39.1,6343,1970,4,10,"Stare Miasto",248011.3,"3. drogie"
"459",2,46.22,5842,1970,9,11,"Krzyki",270017.24,"3. drogie"
"460",1,36,12500,1890,3,4,"Stare Miasto",450000,"4. bardzo drogie"
"461",1,30.7,7818,2008,1,3,"Krzyki",240012.6,"4. bardzo drogie"
"462",2,48.16,8306,2012,2,3,"Srodmiescie",400016.96,"4. bardzo drogie"
"463",3,70,4271,1930,0,0,"Srodmiescie",298970,"1. bardzo tanie"
"464",2,36,6389,1980,9,10,"Psie Pole",230004,"3. drogie"
"465",3,70,4429,1930,4,4,"Psie Pole",310030,"1. bardzo tanie"
"466",3,62.5,5264,2005,3,3,"Krzyki",329000,"1. bardzo tanie"
"467",2,37,6892,2008,1,5,"Srodmiescie",255004,"4. bardzo drogie"
"468",3,68,4544,1932,4,5,"Srodmiescie",308992,"1. bardzo tanie"
"469",2,48,5729,1965,3,4,"Fabryczna",274992,"2. tanie"
"470",2,38,5789,1970,10,10,"Fabryczna",219982,"2. tanie"
"471",3,65,5231,1970,1,3,"Krzyki",340015,"1. bardzo tanie"
