"","n_pokoj","metraz","cena_m2","rok","pietro","pietro_maks","dzielnica","cena","kat_cenowa"
"1010",2,54.75,5205,2006,1,4,"Krzyki",284973.75,"1. bardzo tanie"
"1011",3,54.1,5786,1970,1,10,"Fabryczna",313022.6,"2. tanie"
"1012",3,64,4672,1981,6,6,"Fabryczna",299008,"1. bardzo tanie"
"1013",2,36.8,6495,1970,5,8,"Stare Miasto",239016,"3. drogie"
"1014",3,64,4672,1986,6,6,"Fabryczna",299008,"1. bardzo tanie"
"1015",3,54,6481,1974,3,10,"Krzyki",349974,"3. drogie"
"1016",2,52,6904,2002,2,3,"Srodmiescie",359008,"4. bardzo drogie"
"1017",3,70,8429,2008,1,4,"Fabryczna",590030,"4. bardzo drogie"
"1018",1,27.5,6800,2004,8,8,"Stare Miasto",187000,"4. bardzo drogie"
"1019",2,51,8627,2005,4,4,"Stare Miasto",439977,"4. bardzo drogie"
"1020",2,50.1,6200,2017,0,0,"Krzyki",310620,"3. drogie"
"1021",3,63,5397,1980,13,15,"Fabryczna",340011,"2. tanie"
"1022",3,62,6935,1991,1,4,"Krzyki",429970,"4. bardzo drogie"
"1023",1,38,6053,2001,1,8,"Psie Pole",230014,"3. drogie"
"1024",2,46,6022,2016,0,0,"Fabryczna",277012,"3. drogie"
"1025",3,52,7288,1936,1,1,"Srodmiescie",378976,"4. bardzo drogie"
"1026",2,50,5600,1930,0,0,"Krzyki",280000,"2. tanie"
"1027",2,29,7414,1980,1,4,"Psie Pole",215006,"4. bardzo drogie"
"1028",2,50,5780,2001,5,9,"Psie Pole",289000,"2. tanie"
"1029",3,73,6836,2011,3,3,"Krzyki",499028,"4. bardzo drogie"
"1030",4,71,6099,2002,3,5,"Fabryczna",433029,"3. drogie"
"1031",3,57,5421,1978,0,0,"Krzyki",308997,"2. tanie"
"1032",3,57,5421,1978,0,0,"Fabryczna",308997,"2. tanie"
"1033",5,185,5676,1938,0,0,"Krzyki",1050060,"2. tanie"
"1034",3,106,5755,1901,1,5,"Srodmiescie",610030,"2. tanie"
"1035",3,66,5530,1960,0,0,"Krzyki",364980,"2. tanie"
"1036",4,75,4867,1998,0,0,"Srodmiescie",365025,"1. bardzo tanie"
"1037",3,61.22,4655,1930,5,5,"Krzyki",284979.1,"1. bardzo tanie"
"1038",3,62.5,5344,1985,9,10,"Krzyki",334000,"2. tanie"
"1039",4,88,5250,1930,3,4,"Srodmiescie",462000,"1. bardzo tanie"
"1040",2,57,4877,2000,2,2,"Krzyki",277989,"1. bardzo tanie"
"1041",2,53.25,5991,2008,0,0,"Fabryczna",319020.75,"3. drogie"
"1042",2,38.19,4897,2017,2,2,"Psie Pole",187016.43,"1. bardzo tanie"
"1043",2,38.2,4756,2017,2,2,"Psie Pole",181679.2,"1. bardzo tanie"
"1044",2,42,6786,2008,3,3,"Krzyki",285012,"4. bardzo drogie"
"1045",1,45,5311,2009,3,5,"Fabryczna",238995,"2. tanie"
"1046",1,27,8333,2017,0,0,"Fabryczna",224991,"4. bardzo drogie"
"1047",1,25.82,8095,2012,0,0,"Krzyki",209012.9,"4. bardzo drogie"
"1048",2,47.5,4989,2000,4,4,"Krzyki",236977.5,"1. bardzo tanie"
"1049",2,50,6780,2000,3,4,"Krzyki",339000,"4. bardzo drogie"
"1050",3,58.83,4298,2017,2,2,"Psie Pole",252851.34,"1. bardzo tanie"
"1051",3,67,5373,1960,0,0,"Krzyki",359991,"2. tanie"
"1052",2,38.19,4897,2017,2,2,"Psie Pole",187016.43,"1. bardzo tanie"
"1053",3,45,9089,1900,2,5,"Stare Miasto",409005,"4. bardzo drogie"
"1054",3,58.83,4298,2017,2,2,"Psie Pole",252851.34,"1. bardzo tanie"
"1055",3,66.56,4398,2017,0,0,"Psie Pole",292730.88,"1. bardzo tanie"
"1056",3,58.91,4298,2017,1,2,"Psie Pole",253195.18,"1. bardzo tanie"
"1057",3,63,5794,1930,3,3,"Srodmiescie",365022,"2. tanie"
"1058",4,80.9,3998,2017,2,2,"Psie Pole",323438.2,"1. bardzo tanie"
"1059",2,38.19,4897,2017,2,2,"Psie Pole",187016.43,"1. bardzo tanie"
"1060",2,34,7853,1976,6,10,"Stare Miasto",267002,"4. bardzo drogie"
"1061",2,38.19,4844,2017,2,2,"Psie Pole",184992.36,"1. bardzo tanie"
"1062",3,58.91,4298,2017,1,2,"Psie Pole",253195.18,"1. bardzo tanie"
"1063",1,30,7233,2016,0,0,"Krzyki",216990,"4. bardzo drogie"
"1064",3,70.5,5376,2007,0,0,"Fabryczna",379008,"2. tanie"
"1065",3,89,5270,2007,2,2,"Krzyki",469030,"1. bardzo tanie"
"1066",2,35.6,6601,1985,5,10,"Fabryczna",234995.6,"3. drogie"
"1067",3,60,6417,2009,0,0,"Fabryczna",385020,"3. drogie"
"1068",4,74,6284,2009,0,0,"Fabryczna",465016,"3. drogie"
"1069",2,47.47,5688,2007,2,2,"Psie Pole",270009.36,"2. tanie"
"1070",3,49.2,6301,2008,2,2,"Fabryczna",310009.2,"3. drogie"
"1071",1,32.99,7911,2018,5,8,"Stare Miasto",260983.89,"4. bardzo drogie"
"1072",2,49,6633,2010,0,0,"Psie Pole",325017,"3. drogie"
"1073",4,115,5652,2008,3,3,"Krzyki",649980,"2. tanie"
"1074",3,53.9,6494,1975,2,4,"Fabryczna",350026.6,"3. drogie"
"1075",3,55,5545,1989,7,10,"Krzyki",304975,"2. tanie"
"1076",2,48.3,5797,2005,0,0,"Fabryczna",279995.1,"2. tanie"
"1077",3,62,7419,1930,1,1,"Srodmiescie",459978,"4. bardzo drogie"
"1078",2,46.5,6667,1986,0,0,"Krzyki",310015.5,"4. bardzo drogie"
"1079",2,58,8448,2009,3,4,"Krzyki",489984,"4. bardzo drogie"
"1080",4,88,4886,1930,3,4,"Srodmiescie",429968,"1. bardzo tanie"
"1081",3,66.77,7189,2014,4,4,"Fabryczna",480009.53,"4. bardzo drogie"
"1082",2,38,6053,2000,2,3,"Fabryczna",230014,"3. drogie"
"1083",3,60,6583,2005,0,0,"Fabryczna",394980,"3. drogie"
"1084",3,60,5750,1994,5,6,"Srodmiescie",345000,"2. tanie"
"1085",3,84,5714,2009,3,3,"Krzyki",479976,"2. tanie"
"1086",3,54,6481,1980,10,11,"Krzyki",349974,"3. drogie"
"1087",3,63.3,5371,1991,13,15,"Fabryczna",339984.3,"2. tanie"
"1088",3,49.52,4200,2017,1,1,"Psie Pole",207984,"1. bardzo tanie"
"1089",3,109.89,6552,1903,3,3,"Krzyki",719999.28,"3. drogie"
"1090",3,57,6842,1996,2,2,"Krzyki",389994,"4. bardzo drogie"
"1091",2,39,6744,2000,1,2,"Krzyki",263016,"4. bardzo drogie"
"1092",1,24,10375,1930,4,4,"Stare Miasto",249000,"4. bardzo drogie"
"1093",4,93.7,5603,1994,4,4,"Srodmiescie",525001.1,"2. tanie"
"1094",2,38,5789,1980,10,10,"Fabryczna",219982,"2. tanie"
"1095",2,55,7255,2009,6,7,"Stare Miasto",399025,"4. bardzo drogie"
"1096",2,60,10833,2008,4,5,"Stare Miasto",649980,"4. bardzo drogie"
"1097",1,29.84,6032,2018,3,3,"Krzyki",179994.88,"3. drogie"
"1098",2,60,3708,1960,1,3,"Krzyki",222480,"1. bardzo tanie"
"1099",3,57,5702,1978,0,0,"Psie Pole",325014,"2. tanie"
"1100",4,100,7300,2015,1,2,"Krzyki",730000,"4. bardzo drogie"
"1101",3,86,5413,2016,2,2,"Fabryczna",465518,"2. tanie"
"1102",3,71,5856,2016,0,0,"Fabryczna",415776,"3. drogie"
"1103",3,57,5046,2016,1,3,"Fabryczna",287622,"1. bardzo tanie"
"1104",3,57,5035,2016,2,3,"Fabryczna",286995,"1. bardzo tanie"
"1105",4,91.6,4148,1930,5,5,"Srodmiescie",379956.8,"1. bardzo tanie"
"1106",2,60,5583,2007,2,3,"Fabryczna",334980,"2. tanie"
"1107",3,76,5658,2000,2,3,"Krzyki",430008,"2. tanie"
"1108",4,75,5320,2018,1,1,"Psie Pole",399000,"2. tanie"
"1109",2,50,5100,2001,4,8,"Psie Pole",255000,"1. bardzo tanie"
"1110",3,57,6667,2010,2,3,"Fabryczna",380019,"4. bardzo drogie"
"1111",2,38.76,6090,2016,1,7,"Krzyki",236048.4,"3. drogie"
"1112",2,33,6751,2017,4,5,"Stare Miasto",222783,"4. bardzo drogie"
"1113",2,49,11755,2015,1,7,"Stare Miasto",575995,"4. bardzo drogie"
"1114",3,60,6583,2000,0,0,"Fabryczna",394980,"3. drogie"
"1115",3,66,4394,1989,11,11,"Fabryczna",290004,"1. bardzo tanie"
"1116",4,136,6544,1930,0,0,"Stare Miasto",889984,"3. drogie"
"1117",3,64,5453,1978,8,10,"Krzyki",348992,"2. tanie"
"1118",2,35,7574,1985,6,11,"Krzyki",265090,"4. bardzo drogie"
"1119",3,47,5021,1935,4,4,"Stare Miasto",235987,"1. bardzo tanie"
"1120",5,107,4195,1930,3,3,"Krzyki",448865,"1. bardzo tanie"
"1121",3,68.83,6029,2009,2,5,"Psie Pole",414976.07,"3. drogie"
"1122",3,45,7333,1970,3,4,"Fabryczna",329985,"4. bardzo drogie"
"1123",3,75,7067,2007,0,0,"Fabryczna",530025,"4. bardzo drogie"
"1124",1,45,5311,2009,2,5,"Fabryczna",238995,"2. tanie"
"1125",3,67,5806,1986,1,10,"Krzyki",389002,"3. drogie"
"1126",2,56,6052,2005,2,2,"Krzyki",338912,"3. drogie"
"1127",3,66,6197,2004,2,3,"Fabryczna",409002,"3. drogie"
"1128",2,37,6349,1987,5,11,"Fabryczna",234913,"3. drogie"
"1129",3,86,5442,1928,2,5,"Srodmiescie",468012,"2. tanie"
"1130",2,45,6200,1929,0,0,"Srodmiescie",279000,"3. drogie"
"1131",1,28,7675,2004,0,0,"Krzyki",214900,"4. bardzo drogie"
"1132",4,112.54,6931,1930,2,4,"Stare Miasto",780014.74,"4. bardzo drogie"
"1133",4,84,5476,2000,3,4,"Krzyki",459984,"2. tanie"
"1134",3,87,5632,2000,1,1,"Krzyki",489984,"2. tanie"
"1135",2,53,5264,2007,2,4,"Krzyki",278992,"1. bardzo tanie"
"1136",1,27,7222,2015,0,0,"Krzyki",194994,"4. bardzo drogie"
"1137",3,76,5395,2003,3,4,"Fabryczna",410020,"2. tanie"
"1138",4,69,4942,2005,1,2,"Psie Pole",340998,"1. bardzo tanie"
"1139",3,75,4520,1933,1,4,"Srodmiescie",339000,"1. bardzo tanie"
"1140",2,47,6277,1980,0,0,"Stare Miasto",295019,"3. drogie"
"1141",2,47,6277,1980,0,0,"Stare Miasto",295019,"3. drogie"
"1142",3,61,5885,2004,3,3,"Fabryczna",358985,"3. drogie"
"1143",2,43,5465,2015,0,0,"Psie Pole",234995,"2. tanie"
"1144",2,37.16,5500,2018,0,0,"Krzyki",204380,"2. tanie"
"1145",2,47.2,6250,1980,0,0,"Krzyki",295000,"3. drogie"
"1146",2,37.6,6489,1970,10,10,"Krzyki",243986.4,"3. drogie"
"1147",3,66,4394,1988,11,10,"Fabryczna",290004,"1. bardzo tanie"
"1148",1,31,6290,1980,4,10,"Krzyki",194990,"3. drogie"
"1149",2,52,11486,2018,2,4,"Stare Miasto",597272,"4. bardzo drogie"
"1150",4,64,5452,1984,3,4,"Psie Pole",348928,"2. tanie"
"1151",2,40,6925,1967,10,10,"Stare Miasto",277000,"4. bardzo drogie"
"1152",2,43,5979,2001,2,2,"Krzyki",257097,"3. drogie"
"1153",3,75,6053,2006,2,2,"Krzyki",453975,"3. drogie"
"1154",2,45,5531,2008,2,2,"Psie Pole",248895,"2. tanie"
"1155",3,91,5802,2011,3,3,"Fabryczna",527982,"3. drogie"
"1156",2,40,7125,1980,0,0,"Krzyki",285000,"4. bardzo drogie"
"1157",3,80,5700,2016,0,0,"Srodmiescie",456000,"2. tanie"
"1158",3,70.1,7575,2015,1,3,"Krzyki",531007.5,"4. bardzo drogie"
"1159",2,42,6643,2001,0,0,"Fabryczna",279006,"3. drogie"
"1160",2,39,6744,2000,1,2,"Krzyki",263016,"4. bardzo drogie"
"1161",2,47.71,6581,2017,2,4,"Krzyki",313979.51,"3. drogie"
"1162",3,56.38,6368,2017,4,4,"Krzyki",359027.84,"3. drogie"
"1163",2,53,6774,2008,2,2,"Krzyki",359022,"4. bardzo drogie"
"1164",2,46,6848,2009,8,12,"Stare Miasto",315008,"4. bardzo drogie"
"1165",2,54,9815,2010,4,7,"Stare Miasto",530010,"4. bardzo drogie"
"1166",2,44.03,7062,2017,4,6,"Krzyki",310939.86,"4. bardzo drogie"
"1167",4,85.5,4415,2016,2,4,"Fabryczna",377482.5,"1. bardzo tanie"
"1168",2,44,5659,1935,4,5,"Krzyki",248996,"2. tanie"
"1169",4,53,8962,2009,3,3,"Fabryczna",474986,"4. bardzo drogie"
"1170",4,82,5000,2011,5,5,"Psie Pole",410000,"1. bardzo tanie"
"1171",2,52.5,7600,2008,1,6,"Psie Pole",399000,"4. bardzo drogie"
"1172",2,52.5,4762,2013,3,3,"Krzyki",250005,"1. bardzo tanie"
"1173",2,45,6000,1985,4,4,"Psie Pole",270000,"3. drogie"
"1174",1,45,5311,2009,3,5,"Fabryczna",238995,"2. tanie"
"1175",2,41,6098,1936,1,1,"Fabryczna",250018,"3. drogie"
"1176",2,36.4,5879,1977,11,11,"Psie Pole",213995.6,"3. drogie"
"1177",3,89,6629,1935,1,2,"Fabryczna",589981,"3. drogie"
"1178",2,55.31,5406,2003,1,4,"Fabryczna",299005.86,"2. tanie"
"1179",2,110,4364,1962,1,2,"Krzyki",480040,"1. bardzo tanie"
"1180",2,49,5918,2007,1,3,"Krzyki",289982,"3. drogie"
"1181",1,26.57,7866,2017,0,0,"Krzyki",208999.62,"4. bardzo drogie"
"1182",1,28.18,7417,2017,1,3,"Krzyki",209011.06,"4. bardzo drogie"
"1183",3,62.51,6500,1982,1,4,"Krzyki",406315,"3. drogie"
"1184",3,66,6288,2013,2,3,"Krzyki",415008,"3. drogie"
"1185",7,104,7981,1921,3,4,"Srodmiescie",830024,"4. bardzo drogie"
"1186",1,83,5723,2007,3,3,"Fabryczna",475009,"2. tanie"
"1187",3,68.62,7272,1980,14,15,"Srodmiescie",499004.64,"4. bardzo drogie"
"1188",3,49.89,4200,2018,1,2,"Psie Pole",209538,"1. bardzo tanie"
"1189",2,53.64,1585,2007,1,4,"Fabryczna",85019.4,"1. bardzo tanie"
"1190",2,45,4422,1936,3,4,"Stare Miasto",198990,"1. bardzo tanie"
"1191",4,79,4177,1981,4,4,"Fabryczna",329983,"1. bardzo tanie"
"1192",2,56,6429,2006,6,6,"Srodmiescie",360024,"3. drogie"
"1193",3,74,5541,2011,1,4,"Fabryczna",410034,"2. tanie"
"1194",3,130,10385,2012,1,2,"Srodmiescie",1350050,"4. bardzo drogie"
"1195",3,89,5618,2006,4,4,"Krzyki",500002,"2. tanie"
"1196",3,63,5486,1981,4,10,"Psie Pole",345618,"2. tanie"
"1197",2,32,6531,1930,3,3,"Fabryczna",208992,"3. drogie"
"1198",4,76,5921,1993,3,4,"Krzyki",449996,"3. drogie"
"1199",3,49,6673,1980,10,11,"Fabryczna",326977,"4. bardzo drogie"
"1200",4,75.1,5180,1993,9,10,"Fabryczna",389018,"1. bardzo tanie"
"1201",3,63.7,5290,2018,2,2,"Fabryczna",336973,"1. bardzo tanie"
"1202",2,50.59,5490,2018,2,2,"Fabryczna",277739.1,"2. tanie"
"1203",2,41.82,5790,2018,0,0,"Fabryczna",242137.8,"2. tanie"
"1204",2,41.68,5371,2018,1,2,"Fabryczna",223863.28,"2. tanie"
"1205",5,127,5504,1997,3,4,"Krzyki",699008,"2. tanie"
"1206",4,76.3,5636,2002,3,3,"Fabryczna",430026.8,"2. tanie"
"1207",3,48,6854,1980,11,11,"Fabryczna",328992,"4. bardzo drogie"
"1208",2,161.8,3702,1930,5,5,"Stare Miasto",598983.6,"1. bardzo tanie"
"1209",4,71.66,5931,1980,4,7,"Fabryczna",425015.46,"3. drogie"
"1210",2,42,5786,1936,1,1,"Fabryczna",243012,"2. tanie"
"1211",3,60.22,5065,2012,1,2,"Psie Pole",305014.3,"1. bardzo tanie"
"1212",3,62.4,4647,1980,1,4,"Psie Pole",289972.8,"1. bardzo tanie"
"1213",3,65,5215,1980,1,4,"Psie Pole",338975,"1. bardzo tanie"
"1214",2,67,6955,2008,2,7,"Stare Miasto",465985,"4. bardzo drogie"
"1215",3,55.2,6884,1978,9,10,"Krzyki",379996.8,"4. bardzo drogie"
"1216",3,74,6351,2005,3,3,"Krzyki",469974,"3. drogie"
"1217",3,63,5857,1930,3,4,"Srodmiescie",368991,"3. drogie"
"1218",2,50.6,6107,1997,0,0,"Krzyki",309014.2,"3. drogie"
"1219",2,36,6528,1983,5,10,"Psie Pole",235008,"3. drogie"
"1220",3,65,5000,1985,9,10,"Krzyki",325000,"1. bardzo tanie"
"1221",2,74.08,6817,2017,0,0,"Krzyki",505003.36,"4. bardzo drogie"
"1222",2,53.94,5098,2017,3,3,"Fabryczna",274986.12,"1. bardzo tanie"
"1223",2,46.09,4621,2017,4,4,"Fabryczna",212981.89,"1. bardzo tanie"
"1224",2,58,12414,2008,3,3,"Krzyki",720012,"4. bardzo drogie"
"1225",3,85.56,5610,1920,3,4,"Stare Miasto",479991.6,"2. tanie"
"1226",3,63,5794,1930,3,4,"Srodmiescie",365022,"2. tanie"
"1227",3,70,2843,1930,1,1,"Fabryczna",199010,"1. bardzo tanie"
"1228",2,44,6591,2000,1,4,"Krzyki",290004,"3. drogie"
"1229",3,65,4308,1980,4,4,"Psie Pole",280020,"1. bardzo tanie"
"1230",2,45,4422,1936,3,4,"Krzyki",198990,"1. bardzo tanie"
"1231",3,51.13,5490,2017,2,2,"Fabryczna",280703.7,"2. tanie"
"1232",3,64.12,5200,2017,4,5,"Krzyki",333424,"1. bardzo tanie"
"1233",2,48.8,5350,2018,3,5,"Psie Pole",261080,"2. tanie"
"1234",2,55.3,7475,2017,3,9,"Stare Miasto",413367.5,"4. bardzo drogie"
"1235",3,56.7,7011,2018,1,9,"Stare Miasto",397523.7,"4. bardzo drogie"
"1236",2,34,7618,1985,3,5,"Krzyki",259012,"4. bardzo drogie"
"1237",3,70,5414,2007,0,0,"Fabryczna",378980,"2. tanie"
"1238",3,63,4254,1935,2,3,"Krzyki",268002,"1. bardzo tanie"
"1239",2,33.91,6930,2016,1,3,"Krzyki",234996.3,"4. bardzo drogie"
"1240",2,41.33,5880,1936,1,1,"Fabryczna",243020.4,"3. drogie"
"1241",3,47,6340,1985,5,6,"Srodmiescie",297980,"3. drogie"
"1242",4,95,4621,1920,4,4,"Srodmiescie",438995,"1. bardzo tanie"
"1243",3,63,5159,1985,9,10,"Krzyki",325017,"1. bardzo tanie"
"1244",3,121.59,4893,1930,1,4,"Srodmiescie",594939.87,"1. bardzo tanie"
"1245",3,69.9,5937,1976,9,10,"Krzyki",414996.3,"3. drogie"
"1246",5,110,7536,1919,3,4,"Stare Miasto",828960,"4. bardzo drogie"
"1247",2,51.53,5240,1960,0,0,"Srodmiescie",270017.2,"1. bardzo tanie"
"1248",5,112,5000,2014,1,1,"Krzyki",560000,"1. bardzo tanie"
"1249",3,64,6406,2005,2,3,"Fabryczna",409984,"3. drogie"
"1250",3,78.3,8174,2015,1,3,"Fabryczna",640024.2,"4. bardzo drogie"
"1251",5,130,5000,1902,0,0,"Stare Miasto",650000,"1. bardzo tanie"
"1252",3,75,8048,2004,0,0,"Fabryczna",603600,"4. bardzo drogie"
"1253",3,85,5838,1906,3,3,"Srodmiescie",496230,"3. drogie"
"1254",3,85,5412,2009,2,2,"Fabryczna",460020,"2. tanie"
"1255",3,68,4765,2007,1,1,"Psie Pole",324020,"1. bardzo tanie"
"1256",3,64.7,5549,1993,3,5,"Srodmiescie",359020.3,"2. tanie"
"1257",4,97,4639,1994,5,5,"Stare Miasto",449983,"1. bardzo tanie"
"1258",3,64,5750,1997,0,0,"Fabryczna",368000,"2. tanie"
"1259",3,76,4737,1910,1,5,"Fabryczna",360012,"1. bardzo tanie"
"1260",2,40,6950,1969,10,10,"Stare Miasto",278000,"4. bardzo drogie"
"1261",3,70,6714,2007,2,3,"Krzyki",469980,"4. bardzo drogie"
"1262",3,64,5781,1981,3,4,"Fabryczna",369984,"2. tanie"
"1263",3,59,5847,2011,2,3,"Krzyki",344973,"3. drogie"
"1264",2,53,5943,2010,2,4,"Fabryczna",314979,"3. drogie"
"1265",2,50,6600,1930,2,2,"Krzyki",330000,"3. drogie"
"1266",2,35,7686,1970,6,11,"Krzyki",269010,"4. bardzo drogie"
"1267",2,36,5694,1983,4,4,"Fabryczna",204984,"2. tanie"
"1268",3,58,5690,2005,1,3,"Krzyki",330020,"2. tanie"
"1269",2,52.1,5950,1989,1,4,"Srodmiescie",309995,"3. drogie"
"1270",3,80,4563,1930,2,5,"Stare Miasto",365040,"1. bardzo tanie"
"1271",3,65,7462,1997,3,6,"Srodmiescie",485030,"4. bardzo drogie"
"1272",3,85,5518,1935,2,5,"Srodmiescie",469030,"2. tanie"
"1273",3,75,10920,2015,8,8,"Srodmiescie",819000,"4. bardzo drogie"
"1274",3,62,6583,2016,1,8,"Stare Miasto",408146,"3. drogie"
"1275",4,113,6593,1930,0,0,"Stare Miasto",745009,"3. drogie"
"1276",1,35,9714,1961,3,4,"Stare Miasto",339990,"4. bardzo drogie"
"1277",3,60.08,6308,2009,0,0,"Fabryczna",378984.64,"3. drogie"
"1278",3,67,5806,1980,1,10,"Krzyki",389002,"3. drogie"
"1279",3,67,5373,1960,0,0,"Krzyki",359991,"2. tanie"
"1280",3,54,6204,1980,8,10,"Psie Pole",335016,"3. drogie"
"1281",2,37,7000,1970,0,0,"Krzyki",259000,"4. bardzo drogie"
"1282",2,40.16,7097,2008,3,3,"Krzyki",285015.52,"4. bardzo drogie"
"1283",3,120,4000,1916,4,4,"Krzyki",480000,"1. bardzo tanie"
"1284",3,57,6123,1972,2,4,"Krzyki",349011,"3. drogie"
"1285",3,60.6,4439,1990,5,5,"Krzyki",269003.4,"1. bardzo tanie"
"1286",2,48,5396,1992,2,4,"Psie Pole",259008,"2. tanie"
"1287",3,63.4,4716,1983,0,0,"Fabryczna",298994.4,"1. bardzo tanie"
"1288",3,77,5974,2011,3,3,"Psie Pole",459998,"3. drogie"
"1289",3,67,5806,1986,1,10,"Krzyki",389002,"3. drogie"
"1290",2,49.5,6040,2003,3,3,"Psie Pole",298980,"3. drogie"
"1291",2,53.3,6341,2007,2,2,"Fabryczna",337975.3,"3. drogie"
"1292",4,94.94,4950,2017,2,2,"Fabryczna",469953,"1. bardzo tanie"
"1293",3,47,6277,1977,4,7,"Stare Miasto",295019,"3. drogie"
"1294",3,78.52,4950,2017,2,2,"Fabryczna",388674,"1. bardzo tanie"
"1295",3,52.95,5400,2017,2,3,"Krzyki",285930,"2. tanie"
"1296",3,71.74,4950,2017,2,2,"Fabryczna",355113,"1. bardzo tanie"
"1297",2,45,6889,1960,0,0,"Krzyki",310005,"4. bardzo drogie"
"1298",3,64.63,5888,2017,0,0,"Srodmiescie",380541.44,"3. drogie"
"1299",2,40.03,4247,2017,1,2,"Fabryczna",170007.41,"1. bardzo tanie"
"1300",3,67,8060,2008,2,6,"Fabryczna",540020,"4. bardzo drogie"
"1301",2,62.3,4575,1920,1,3,"Srodmiescie",285022.5,"1. bardzo tanie"
"1302",3,67,5761,2002,3,3,"Fabryczna",385987,"2. tanie"
"1303",2,54.5,6604,1992,2,4,"Krzyki",359918,"3. drogie"
"1304",2,57.2,6119,2010,0,0,"Fabryczna",350006.8,"3. drogie"
"1305",2,52,7596,2010,3,4,"Srodmiescie",394992,"4. bardzo drogie"
"1306",2,46.49,6797,2017,0,0,"Fabryczna",315992.53,"4. bardzo drogie"
"1307",3,48,9375,2015,4,6,"Srodmiescie",450000,"4. bardzo drogie"
"1308",3,64.7,5564,1995,3,6,"Srodmiescie",359990.8,"2. tanie"
"1309",2,43.84,7361,2017,0,0,"Fabryczna",322706.24,"4. bardzo drogie"
"1310",3,50,7480,2011,3,3,"Fabryczna",374000,"4. bardzo drogie"
"1311",2,72,4028,1989,0,0,"Fabryczna",290016,"1. bardzo tanie"
"1312",2,62,6048,2007,2,2,"Fabryczna",374976,"3. drogie"
"1313",3,49.5,7051,1975,3,10,"Krzyki",349024.5,"4. bardzo drogie"
"1314",3,54.5,5413,1975,7,10,"Psie Pole",295008.5,"2. tanie"
"1315",4,150,4327,2010,2,2,"Krzyki",649050,"1. bardzo tanie"
"1316",3,50,6900,2011,3,3,"Fabryczna",345000,"4. bardzo drogie"
"1317",2,52,6923,1980,3,4,"Krzyki",359996,"4. bardzo drogie"
"1318",4,101.25,6420,2016,1,3,"Krzyki",650025,"3. drogie"
"1319",5,111,4320,2015,1,2,"Fabryczna",479520,"1. bardzo tanie"
"1320",3,76.5,6209,2009,1,2,"Fabryczna",474988.5,"3. drogie"
"1321",3,62,4839,1980,1,6,"Fabryczna",300018,"1. bardzo tanie"
"1322",4,95,4621,1920,4,4,"Srodmiescie",438995,"1. bardzo tanie"
"1323",3,63,5794,1930,3,3,"Srodmiescie",365022,"2. tanie"
"1324",2,52,6250,1960,3,5,"Fabryczna",325000,"3. drogie"
"1325",4,114,4474,1933,2,5,"Krzyki",510036,"1. bardzo tanie"
"1326",4,72,4861,1991,7,10,"Krzyki",349992,"1. bardzo tanie"
"1327",2,52,6058,2006,0,0,"Fabryczna",315016,"3. drogie"
"1328",4,69,4478,1930,4,4,"Srodmiescie",308982,"1. bardzo tanie"
"1329",2,38,6421,1978,10,10,"Krzyki",243998,"3. drogie"
"1330",4,73,4589,1980,0,0,"Psie Pole",334997,"1. bardzo tanie"
"1331",4,72.8,4602,1980,0,0,"Psie Pole",335025.6,"1. bardzo tanie"
"1332",3,65,5369,1990,8,10,"Psie Pole",348985,"2. tanie"
"1333",3,65,5369,1962,0,0,"Psie Pole",348985,"2. tanie"
"1334",3,54,7389,1958,5,5,"Stare Miasto",399006,"4. bardzo drogie"
"1335",2,54,6519,2000,2,2,"Krzyki",352026,"3. drogie"
"1336",3,50,6220,1930,0,0,"Srodmiescie",311000,"3. drogie"
"1337",1,25,7400,1980,7,12,"Srodmiescie",185000,"4. bardzo drogie"
"1338",1,37.25,7705,1950,3,4,"Stare Miasto",287011.25,"4. bardzo drogie"
"1339",1,27,7778,2011,3,3,"Krzyki",210006,"4. bardzo drogie"
"1340",4,104,5183,2000,6,7,"Krzyki",539032,"1. bardzo tanie"
"1341",5,111,5045,2014,1,2,"Krzyki",559995,"1. bardzo tanie"
"1342",2,45,5333,1936,0,0,"Fabryczna",239985,"2. tanie"
"1343",2,53,7528,2008,1,5,"Psie Pole",398984,"4. bardzo drogie"
"1344",2,50,6500,2010,0,0,"Psie Pole",325000,"3. drogie"
"1345",2,45,5333,1930,0,0,"Fabryczna",239985,"2. tanie"
"1346",2,32.8,7012,1930,0,0,"Krzyki",229993.6,"4. bardzo drogie"
"1347",3,62.8,5812,1930,4,4,"Srodmiescie",364993.6,"3. drogie"
"1348",4,97,4113,2009,4,4,"Psie Pole",398961,"1. bardzo tanie"
"1349",3,63.34,5826,1999,0,0,"Krzyki",369018.84,"3. drogie"
"1350",2,48.76,5619,2015,1,2,"Krzyki",273982.44,"2. tanie"
"1351",2,53,5264,2007,2,2,"Krzyki",278992,"1. bardzo tanie"
"1352",1,35.6,6882,1961,2,5,"Stare Miasto",244999.2,"4. bardzo drogie"
"1353",4,143.67,4037,1900,2,4,"Krzyki",579995.79,"1. bardzo tanie"
"1354",3,98.5,6650,1950,3,4,"Stare Miasto",655025,"4. bardzo drogie"
"1355",3,63,5794,1930,3,3,"Srodmiescie",365022,"2. tanie"
